icd10,description
"S00","Superficial injury of head"
"S000","Superficial injury of scalp"
"S001","Contusion of eyelid and periocular area"
"S002","Other superficial injuries of eyelid and periocular area"
"S003","Superficial injury of nose"
"S004","Superficial injury of ear"
"S005","Superficial injury of lip and oral cavity"
"S007","Multiple superficial injuries of head"
"S008","Superficial injury of other parts of head"
"S009","Superficial injury of head, part unspecified"
"S01","Open wound of head"
"S010","Open wound of scalp"
"S011","Open wound of eyelid and periocular area"
"S012","Open wound of nose"
"S013","Open wound of ear"
"S014","Open wound of cheek and temporomandibular area"
"S015","Open wound of lip and oral cavity"
"S017","Multiple open wounds of head"
"S018","Open wound of other parts of head"
"S019","Open wound of head, part unspecified"
"S02","Fracture of skull and facial bones"
"S020","Fracture of vault of skull"
"S021","Fracture of base of skull"
"S022","Fracture of nasal bones"
"S023","Fracture of orbital floor"
"S024","Fracture of malar and maxillary bones"
"S025","Fracture of tooth"
"S026","Fracture of mandible"
"S027","Multiple fractures involving skull and facial bones"
"S028","Fractures of other skull and facial bones"
"S029","Fracture of skull and facial bones, part unspecified"
"S03","Dislocation, sprain and strain of joints and ligaments of head"
"S030","Dislocation of jaw"
"S031","Dislocation of septal cartilage of nose"
"S032","Dislocation of tooth"
"S033","Dislocation of other and unspecified parts of head"
"S034","Sprain and strain of jaw"
"S035","Sprain and strain of joints and ligaments of other and unspecified parts of head"
"S04","Injury of cranial nerves"
"S040","Injury of optic nerve and pathways"
"S041","Injury of oculomotor nerve"
"S042","Injury of trochlear nerve"
"S043","Injury of trigeminal nerve"
"S044","Injury of abducent nerve"
"S045","Injury of facial nerve"
"S046","Injury of acoustic nerve"
"S047","Injury of accessory nerve"
"S048","Injury of other cranial nerves"
"S049","Injury of unspecified cranial nerve"
"S05","Injury of eye and orbit"
"S050","Injury of conjunctiva and corneal abrasion without mention of foreign body"
"S051","Contusion of eyeball and orbital tissues"
"S052","Ocular laceration and rupture with prolapse or loss of intraocular tissue"
"S053","Ocular laceration without prolapse or loss of intraocular tissue"
"S054","Penetrating wound of orbit with or without foreign body"
"S055","Penetrating wound of eyeball with foreign body"
"S056","Penetrating wound of eyeball without foreign body"
"S057","Avulsion of eye"
"S058","Other injuries of eye and orbit"
"S059","Injury of eye and orbit, unspecified"
"S06","Intracranial injury"
"S060","Concussion"
"S061","Traumatic cerebral oedema"
"S062","Diffuse brain injury"
"S063","Focal brain injury"
"S064","Epidural haemorrhage"
"S065","Traumatic subdural haemorrhage"
"S066","Traumatic subarachnoid haemorrhage"
"S067","Intracranial injury with prolonged coma"
"S068","Other intracranial injuries"
"S069","Intracranial injury, unspecified"
"S07","Crushing injury of head"
"S070","Crushing injury of face"
"S071","Crushing injury of skull"
"S078","Crushing injury of other parts of head"
"S079","Crushing injury of head, part unspecified"
"S08","Traumatic amputation of part of head"
"S080","Avulsion of scalp"
"S081","Traumatic amputation of ear"
"S088","Traumatic amputation of other parts of head"
"S089","Traumatic amputation of unspecified part of head"
"S09","Other and unspecified injuries of head"
"S090","Injury of blood vessels of head, not elsewhere classified"
"S091","Injury of muscle and tendon of head"
"S092","Traumatic rupture of ear drum"
"S097","Multiple injuries of head"
"S098","Other specified injuries of head"
"S099","Unspecified injury of head"
"S10","Superficial injury of neck"
"S100","Contusion of throat"
"S101","Other and unspecified superficial injuries of throat"
"S107","Multiple superficial injuries of neck"
"S108","Superficial injury of other parts of neck"
"S109","Superficial injury of neck, part unspecified"
"S11","Open wound of neck"
"S110","Open wound involving larynx and trachea"
"S111","Open wound involving thyroid gland"
"S112","Open wound involving pharynx and cervical oesophagus"
"S117","Multiple open wounds of neck"
"S118","Open wound of other parts of neck"
"S119","Open wound of neck, part unspecified"
"S12","Fracture of neck"
"S120","Fracture of first cervical vertebra"
"S121","Fracture of second cervical vertebra"
"S122","Fracture of other specified cervical vertebra"
"S127","Multiple fractures of cervical spine"
"S128","Fracture of other parts of neck"
"S129","Fracture of neck, part unspecified"
"S13","Dislocation, sprain and strain of joints and ligaments at neck level"
"S130","Traumatic rupture of cervical intervertebral disc"
"S131","Dislocation of cervical vertebra"
"S132","Dislocation of other and unspecified parts of neck"
"S133","Multiple dislocations of neck"
"S134","Sprain and strain of cervical spine"
"S135","Sprain and strain of thyroid region"
"S136","Sprain and strain of joints and ligaments of other and unspecified parts of neck"
"S14","Injury of nerves and spinal cord at neck level"
"S140","Concussion and oedema of cervical spinal cord"
"S141","Other and unspecified injuries of cervical spinal cord"
"S142","Injury of nerve root of cervical spine"
"S143","Injury of brachial plexus"
"S144","Injury of peripheral nerves of neck"
"S145","Injury of cervical sympathetic nerves"
"S146","Injury of other and unspecified nerves of neck"
