icd10,description
"G00X","Bacterial meningitis, not elsewhere classified"
"G000","Haemophilus meningitis"
"G001","Pneumococcal meningitis"
"G002","Streptococcal meningitis"
"G003","Staphylococcal meningitis"
"G008","Other bacterial meningitis"
"G009","Bacterial meningitis, unspecified"
"G01X","Meningitis in bacterial diseases classified elsewhere"
"G02X","Meningitis in other infectious and parasitic diseases classified elsewhere"
"G020","Meningitis in viral diseases classified elsewhere"
"G021","Meningitis in mycoses"
"G028","Meningitis in other specified infectious and parasitic diseases classified elsewhere"
"G03X","Meningitis due to other and unspecified causes"
"G030","Nonpyogenic meningitis"
"G031","Chronic meningitis"
"G032","Benign recurrent meningitis [Mollaret]"
"G038","Meningitis due to other specified causes"
"G039","Meningitis, unspecified"
"G04X","Encephalitis, myelitis and encephalomyelitis"
"G040","Acute disseminated encephalitis"
"G041","Human T-cell lymphotropic virus associated myelopathy"
"G042","Bacterial meningoencephalitis and meningomyelitis, not elsewhere classified"
"G048","Other encephalitis, myelitis and encephalomyelitis"
"G049","Encephalitis, myelitis and encephalomyelitis, unspecified"
"G05X","Encephalitis, myelitis and encephalomyelitis in diseases classified elsewhere"
"G050","Encephalitis, myelitis and encephalomyelitis in bacterial diseases classified elsewhere"
"G051","Encephalitis, myelitis and encephalomyelitis in viral diseases classified elsewhere"
"G052","Encephalitis, myelitis and encephalomyelitis in other infectious and parasitic diseases classified elsewhere"
"G058","Encephalitis, myelitis and encephalomyelitis in other diseases classified elsewhere"
"G06X","Intracranial and intraspinal abscess and granuloma"
"G060","Intracranial abscess and granuloma"
"G061","Intraspinal abscess and granuloma"
"G062","Extradural and subdural abscess, unspecified"
"G07X","Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere"
"G08X","Intracranial and intraspinal phlebitis and thrombophlebitis"
"G09X","Sequelae of inflammatory diseases of central nervous system"
"G10X","Huntington disease"
"G11X","Hereditary ataxia"
"G110","Congenital nonprogressive ataxia"
"G111","Early-onset cerebellar ataxia"
"G112","Late-onset cerebellar ataxia"
"G113","Cerebellar ataxia with defective DNA repair"
"G114","Hereditary spastic paraplegia"
"G118","Other hereditary ataxias"
"G119","Hereditary ataxia, unspecified"
"G12X","Spinal muscular atrophy and related syndromes"
"G120","Infantile spinal muscular atrophy, type I [Werdnig-Hoffman]"
"G121","Other inherited spinal muscular atrophy"
"G122","Motor neuron disease"
"G128","Other spinal muscular atrophies and related syndromes"
"G129","Spinal muscular atrophy, unspecified"
"G13X","Systemic atrophies primarily affecting central nervous system in diseases classified elsewhere"
"G130","Paraneoplastic neuromyopathy and neuropathy"
"G131","Other systemic atrophy primarily affecting central nervous system in neoplastic disease"
"G132","Systemic atrophy primarily affecting central nervous system in myxoedema"
"G138","Systemic atrophy primarily affecting central nervous system in other diseases classified elsewhere"
"G14X","Postpolio syndrome"
"G20X","Parkinson disease"
"G21X","Secondary parkinsonism"
"G210","Malignant neuroleptic syndrome"
"G211","Other drug-induced secondary parkinsonism"
"G212","Secondary parkinsonism due to other external agents"
"G213","Postencephalitic parkinsonism"
"G214","Vascular parkinsonism"
"G218","Other secondary parkinsonism"
"G219","Secondary parkinsonism, unspecified"
"G22X","Parkinsonism in diseases classified elsewhere"
"G23X","Other degenerative diseases of basal ganglia"
"G230","Hallervorden-Spatz disease"
"G231","Progressive supranuclear ophthalmoplegia [Steele-Richardson-Olszewski]"
"G232","Multiple system atrophy, parkinsonian type [MSA-P]"
"G233","Multiple system atrophy, cerebellar type [MSA-C]"
"G238","Other specified degenerative diseases of basal ganglia"
"G239","Degenerative disease of basal ganglia, unspecified"
"G24X","Dystonia"
"G240","Drug-induced dystonia"
"G241","Idiopathic familial dystonia"
"G242","Idiopathic nonfamilial dystonia"
"G243","Spasmodic torticollis"
"G244","Idiopathic orofacial dystonia"
"G245","Blepharospasm"
"G248","Other dystonia"
"G249","Dystonia, unspecified"
"G25X","Other extrapyramidal and movement disorders"
"G250","Essential tremor"
"G251","Drug-induced tremor"
"G252","Other specified forms of tremor"
"G253","Myoclonus"
"G254","Drug-induced chorea"
"G255","Other chorea"
"G256","Drug-induced tics and other tics of organic origin"
"G258","Other specified extrapyramidal and movement disorders"
"G259","Extrapyramidal and movement disorder, unspecified"
"G26X","Extrapyramidal and movement disorders in diseases classified elsewhere"
"G31X","Other degenerative diseases of nervous system, not elsewhere classified"
"G310","Circumscribed brain atrophy"
"G311","Senile degeneration of brain, not elsewhere classified"
"G312","Degeneration of nervous system due to alcohol"
"G318","Other specified degenerative diseases of nervous system"
"G319","Degenerative disease of nervous system, unspecified"
"G32X","Other degenerative disorders of nervous system in diseases classified elsewhere"
"G320","Subacute combined degeneration of spinal cord in diseases classified elsewhere"
"G328","Other specified degenerative disorders of nervous system in diseases classified elsewhere"
"G35X","Multiple sclerosis"
"G36X","Other acute disseminated demyelination"
"G360","Neuromyelitis optica [Devic]"
"G361","Acute and subacute haemorrhagic leukoencephalitis [Hurst]"
"G368","Other specified acute disseminated demyelination"
"G369","Acute disseminated demyelination, unspecified"
"G37X","Other demyelinating diseases of central nervous system"
"G370","Diffuse sclerosis"
"G371","Central demyelination of corpus callosum"
"G372","Central pontine myelinolysis"
"G373","Acute transverse myelitis in demyelinating disease of central nervous system"
"G374","Subacute necrotizing myelitis"
"G375","Concentric sclerosis [Baló]"
"G378","Other specified demyelinating diseases of central nervous system"
"G379","Demyelinating disease of central nervous system, unspecified"
"G40X","Epilepsy"
"G400","Localization-related (focal)(partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset"
"G401","Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures"
"G402","Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures"
"G403","Generalized idiopathic epilepsy and epileptic syndromes"
"G404","Other generalized epilepsy and epileptic syndromes"
"G405","Special epileptic syndromes"
"G406","Grand mal seizures, unspecified (with or without petit mal)"
"G407","Petit mal, unspecified, without grand mal seizures"
"G408","Other epilepsy"
"G409","Epilepsy, unspecified"
"G41X","Status epilepticus"
"G410","Grand mal status epilepticus"
"G411","Petit mal status epilepticus"
"G412","Complex partial status epilepticus"
"G418","Other status epilepticus"
"G419","Status epilepticus, unspecified"
"G43X","Migraine"
"G430","Migraine without aura [common migraine]"
"G431","Migraine with aura [classical migraine]"
"G432","Status migrainosus"
"G433","Complicated migraine"
"G438","Other migraine"
"G439","Migraine, unspecified"
"G44X","Other headache syndromes"
"G440","Cluster headache syndrome"
"G441","Vascular headache, not elsewhere classified"
"G442","Tension-type headache"
"G443","Chronic post-traumatic headache"
"G444","Drug-induced headache, not elsewhere classified"
