icd10,description
"F00X","Dementia in Alzheimer disease"
"F000","Dementia in Alzheimer disease with early onset"
"F001","Dementia in Alzheimer disease with late onset"
"F002","Dementia in Alzheimer disease, atypical or mixed type"
"F009","Dementia in Alzheimer disease, unspecified"
"F01X","Vascular dementia"
"F010","Vascular dementia of acute onset"
"F011","Multi-infarct dementia"
"F012","Subcortical vascular dementia"
"F013","Mixed cortical and subcortical vascular dementia"
"F018","Other vascular dementia"
"F019","Vascular dementia, unspecified"
"F02X","Dementia in other diseases classified elsewhere"
"F020","Dementia in Pick disease"
"F021","Dementia in Creutzfeldt-Jakob disease"
"F022","Dementia in Huntington disease"
"F023","Dementia in Parkinson disease"
"F024","Dementia in human immunodeficiency virus [HIV] disease"
"F028","Dementia in other specified diseases classified elsewhere"
"F03X","Unspecified dementia"
"F04X","Organic amnesic syndrome, not induced by alcohol and other psychoactive substances"
"F05X","Delirium, not induced by alcohol and other psychoactive substances"
"F050","Delirium not superimposed on dementia, so described"
"F051","Delirium superimposed on dementia"
"F058","Other delirium"
"F059","Delirium, unspecified"
"F06X","Other mental disorders due to brain damage and dysfunction and to physical disease"
"F060","Organic hallucinosis"
"F061","Organic catatonic disorder"
"F062","Organic delusional [schizophrenia-like] disorder"
"F063","Organic mood [affective] disorders"
"F064","Organic anxiety disorder"
"F065","Organic dissociative disorder"
"F066","Organic emotionally labile [asthenic] disorder"
"F067","Mild cognitive disorder"
"F068","Other specified mental disorders due to brain damage and dysfunction and to physical disease"
"F069","Unspecified mental disorder due to brain damage and dysfunction and to physical disease"
"F07X","Personality and behavioural disorders due to brain disease, damage and dysfunction"
"F070","Organic personality disorder"
"F071","Postencephalitic syndrome"
"F072","Postconcussional syndrome"
"F078","Other organic personality and behavioural disorders due to brain disease, damage and dysfunction"
"F079","Unspecified organic personality and behavioural disorder due to brain disease, damage and dysfunction"
"F09X","Unspecified organic or symptomatic mental disorder"
"F10X","Mental and behavioural disorders due to use of alcohol"
"F11X","Mental and behavioural disorders due to use of opioids"
"F12X","Mental and behavioural disorders due to use of cannabinoids"
"F13X","Mental and behavioural disorders due to use of sedatives or hypnotics"
"F14X","Mental and behavioural disorders due to use of cocaine"
"F15X","Mental and behavioural disorders due to use of other stimulants, including caffeine"
"F16X","Mental and behavioural disorders due to use of hallucinogens"
"F17X","Mental and behavioural disorders due to use of tobacco"
"F18X","Mental and behavioural disorders due to use of volatile solvents"
"F19X","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances"
"F20X","Schizophrenia"
"F200","Paranoid schizophrenia"
"F201","Hebephrenic schizophrenia"
"F202","Catatonic schizophrenia"
"F203","Undifferentiated schizophrenia"
"F204","Post-schizophrenic depression"
"F205","Residual schizophrenia"
"F206","Simple schizophrenia"
"F208","Other schizophrenia"
"F209","Schizophrenia, unspecified"
"F21X","Schizotypal disorder"
"F22X","Persistent delusional disorders"
"F220","Delusional disorder"
"F228","Other persistent delusional disorders"
"F229","Persistent delusional disorder, unspecified"
"F23X","Acute and transient psychotic disorders"
"F230","Acute polymorphic psychotic disorder without symptoms of schizophrenia"
"F231","Acute polymorphic psychotic disorder with symptoms of schizophrenia"
"F232","Acute schizophrenia-like psychotic disorder"
"F233","Other acute predominantly delusional psychotic disorders"
"F238","Other acute and transient psychotic disorders"
"F239","Acute and transient psychotic disorder, unspecified"
"F24X","Induced delusional disorder"
"F25X","Schizoaffective disorders"
"F250","Schizoaffective disorder, manic type"
"F251","Schizoaffective disorder, depressive type"
"F252","Schizoaffective disorder, mixed type"
"F258","Other schizoaffective disorders"
"F259","Schizoaffective disorder, unspecified"
"F28X","Other nonorganic psychotic disorders"
"F29X","Unspecified nonorganic psychosis"
"F30X","Manic episode"
"F300","Hypomania"
"F301","Mania without psychotic symptoms"
"F302","Mania with psychotic symptoms"
"F308","Other manic episodes"
"F309","Manic episode, unspecified"
"F31X","Bipolar affective disorder"
"F310","Bipolar affective disorder, current episode hypomanic"
"F311","Bipolar affective disorder, current episode manic without psychotic symptoms"
"F312","Bipolar affective disorder, current episode manic with psychotic symptoms"
"F313","Bipolar affective disorder, current episode mild or moderate depression"
"F314","Bipolar affective disorder, current episode severe depression without psychotic symptoms"
"F315","Bipolar affective disorder, current episode severe depression with psychotic symptoms"
"F316","Bipolar affective disorder, current episode mixed"
"F317","Bipolar affective disorder, currently in remission"
"F318","Other bipolar affective disorders"
"F319","Bipolar affective disorder, unspecified"
"F32X","Depressive episode"
"F320","Mild depressive episode"
"F321","Moderate depressive episode"
"F322","Severe depressive episode without psychotic symptoms"
"F323","Severe depressive episode with psychotic symptoms"
"F328","Other depressive episodes"
"F329","Depressive episode, unspecified"
"F33X","Recurrent depressive disorder"
"F330","Recurrent depressive disorder, current episode mild"
"F331","Recurrent depressive disorder, current episode moderate"
"F332","Recurrent depressive disorder, current episode severe without psychotic symptoms"
"F333","Recurrent depressive disorder, current episode severe with psychotic symptoms"
"F334","Recurrent depressive disorder, currently in remission"
"F338","Other recurrent depressive disorders"
"F339","Recurrent depressive disorder, unspecified"
"F34X","Persistent mood [affective] disorders"
"F340","Cyclothymia"
"F341","Dysthymia"
"F348","Other persistent mood [affective] disorders"
"F349","Persistent mood [affective] disorder, unspecified"
"F38X","Other mood [affective] disorders"
"F380","Other single mood [affective] disorders"
"F381","Other recurrent mood [affective] disorders"
"F388","Other specified mood [affective] disorders"
"F39X","Unspecified mood [affective] disorder"
"F40X","Phobic anxiety disorders"
"F400","Agoraphobia"
"F401","Social phobias"
"F402","Specific (isolated) phobias"
"F408","Other phobic anxiety disorders"
"F409","Phobic anxiety disorder, unspecified"
"F41X","Other anxiety disorders"
"F410","Panic disorder [episodic paroxysmal anxiety]"
"F411","Generalized anxiety disorder"
"F412","Mixed anxiety and depressive disorder"
"F413","Other mixed anxiety disorders"
"F418","Other specified anxiety disorders"
"F419","Anxiety disorder, unspecified"
"F42X","Obsessive-compulsive disorder"
"F420","Predominantly obsessional thoughts or ruminations"
"F421","Predominantly compulsive acts [obsessional rituals]"
"F422","Mixed obsessional thoughts and acts"
"F428","Other obsessive-compulsive disorders"
"F429","Obsessive-compulsive disorder, unspecified"
"F43X","Reaction to severe stress, and adjustment disorders"
"F430","Acute stress reaction"
"F431","Post-traumatic stress disorder"
"F432","Adjustment disorders"
"F438","Other reactions to severe stress"
"F439","Reaction to severe stress, unspecified"
"F44X","Dissociative [conversion] disorders"
