icd10,description
"M00X","Pyogenic arthritis"
"M000","Staphylococcal arthritis and polyarthritis"
"M001","Pneumococcal arthritis and polyarthritis"
"M002","Other streptococcal arthritis and polyarthritis"
"M008","Arthritis and polyarthritis due to other specified bacterial agents"
"M009","Pyogenic arthritis, unspecified"
"M01X","Direct infections of joint in infectious and parasitic diseases classified elsewhere"
"M010","Meningococcal arthritis"
"M011","Tuberculous arthritis"
"M012","Arthritis in Lyme disease"
"M013","Arthritis in other bacterial diseases classified elsewhere"
"M014","Rubella arthritis"
"M015","Arthritis in other viral diseases classified elsewhere"
"M016","Arthritis in mycoses"
"M018","Arthritis in other infectious and parasitic diseases classified elsewhere"
"M02X","Reactive arthropathies"
"M020","Arthropathy following intestinal bypass"
"M021","Postdysenteric arthropathy"
"M022","Postimmunization arthropathy"
"M023","Reiter disease"
"M028","Other reactive arthropathies"
"M029","Reactive arthropathy, unspecified"
"M03X","Postinfective and reactive arthropathies in diseases classified elsewhere"
"M030","Postmeningococcal arthritis"
"M031","Postinfective arthropathy in syphilis"
"M032","Other postinfectious arthropathies in diseases classified elsewhere"
"M036","Reactive arthropathy in other diseases classified elsewhere"
"M05X","Seropositive rheumatoid arthritis"
"M050","Felty syndrome"
"M051","Rheumatoid lung disease"
"M052","Rheumatoid vasculitis"
"M053","Rheumatoid arthritis with involvement of other organs and systems"
"M058","Other seropositive rheumatoid arthritis"
"M059","Seropositive rheumatoid arthritis, unspecified"
"M06X","Other rheumatoid arthritis"
"M060","Seronegative rheumatoid arthritis"
"M061","Adult-onset Still disease"
"M062","Rheumatoid bursitis"
"M063","Rheumatoid nodule"
"M064","Inflammatory polyarthropathy"
"M068","Other specified rheumatoid arthritis"
"M069","Rheumatoid arthritis, unspecified"
"M07X","Psoriatic and enteropathic arthropathies"
"M070","Distal interphalangeal psoriatic arthropathy"
"M071","Arthritis mutilans"
"M072","Psoriatic spondylitis"
"M073","Other psoriatic arthropathies"
"M074","Arthropathy in Crohn disease [regional enteritis]"
"M075","Arthropathy in ulcerative colitis"
"M076","Other enteropathic arthropathies"
"M08X","Juvenile arthritis"
"M080","Juvenile rheumatoid arthritis"
"M081","Juvenile ankylosing spondylitis"
"M082","Juvenile arthritis with systemic onset"
"M083","Juvenile polyarthritis (seronegative)"
"M084","Pauciarticular juvenile arthritis"
"M088","Other juvenile arthritis"
"M089","Juvenile arthritis, unspecified"
"M09X","Juvenile arthritis in diseases classified elsewhere"
"M090","Juvenile arthritis in psoriasis"
"M091","Juvenile arthritis in Crohn disease [regional enteritis]"
"M092","Juvenile arthritis in ulcerative colitis"
"M098","Juvenile arthritis in other diseases classified elsewhere"
"M10X","Gout"
"M100","Idiopathic gout"
"M101","Lead-induced gout"
"M102","Drug-induced gout"
"M103","Gout due to impairment of renal function"
"M104","Other secondary gout"
"M109","Gout, unspecified"
"M11X","Other crystal arthropathies"
"M110","Hydroxyapatite deposition disease"
"M111","Familial chondrocalcinosis"
"M112","Other chondrocalcinosis"
"M118","Other specified crystal arthropathies"
"M119","Crystal arthropathy, unspecified"
"M12X","Other specific arthropathies"
"M120","Chronic postrheumatic arthropathy [Jaccoud]"
"M121","Kaschin-Beck disease"
"M122","Villonodular synovitis (pigmented)"
"M123","Palindromic rheumatism"
"M124","Intermittent hydrarthrosis"
"M125","Traumatic arthropathy"
"M128","Other specific arthropathies, not elsewhere classified"
"M13X","Other arthritis"
"M130","Polyarthritis, unspecified"
"M131","Monoarthritis, not elsewhere classified"
"M138","Other specified arthritis"
"M139","Arthritis, unspecified"
"M14X","Arthropathies in other diseases classified elsewhere"
"M140","Gouty arthropathy due to enzyme defects and other inherited disorders"
"M141","Crystal arthropathy in other metabolic disorders"
"M142","Diabetic arthropathy"
"M143","Lipoid dermatoarthritis"
"M144","Arthropathy in amyloidosis"
"M145","Arthropathies in other endocrine, nutritional and metabolic disorders"
"M146","Neuropathic arthropathy"
"M148","Arthropathies in other specified diseases classified elsewhere"
"M15X","Polyarthrosis"
"M150","Primary generalized (osteo)arthrosis"
"M151","Heberden nodes (with arthropathy)"
"M152","Bouchard nodes (with arthropathy)"
"M153","Secondary multiple arthrosis"
"M154","Erosive (osteo)arthrosis"
"M158","Other polyarthrosis"
"M159","Polyarthrosis, unspecified"
"M16X","Coxarthrosis [arthrosis of hip]"
"M160","Primary coxarthrosis, bilateral"
"M161","Other primary coxarthrosis"
"M162","Coxarthrosis resulting from dysplasia, bilateral"
"M163","Other dysplastic coxarthrosis"
"M164","Post-traumatic coxarthrosis, bilateral"
"M165","Other post-traumatic coxarthrosis"
"M166","Other secondary coxarthrosis, bilateral"
"M167","Other secondary coxarthrosis"
"M169","Coxarthrosis, unspecified"
"M17X","Gonarthrosis [arthrosis of knee]"
"M170","Primary gonarthrosis, bilateral"
"M171","Other primary gonarthrosis"
"M172","Post-traumatic gonarthrosis, bilateral"
"M173","Other post-traumatic gonarthrosis"
"M174","Other secondary gonarthrosis, bilateral"
"M175","Other secondary gonarthrosis"
"M179","Gonarthrosis, unspecified"
"M18X","Arthrosis of first carpometacarpal joint"
"M180","Primary arthrosis of first carpometacarpal joints, bilateral"
"M181","Other primary arthrosis of first carpometacarpal joint"
"M182","Post-traumatic arthrosis of first carpometacarpal joints, bilateral"
"M183","Other post-traumatic arthrosis of first carpometacarpal joint"
"M184","Other secondary arthrosis of first carpometacarpal joints, bilateral"
"M185","Other secondary arthrosis of first carpometacarpal joint"
"M189","Arthrosis of first carpometacarpal joint, unspecified"
"M19X","Other arthrosis"
"M190","Primary arthrosis of other joints"
"M191","Post-traumatic arthrosis of other joints"
"M192","Other secondary arthrosis"
"M198","Other specified arthrosis"
"M199","Arthrosis, unspecified"
"M20X","Acquired deformities of fingers and toes"
"M200","Deformity of finger(s)"
"M201","Hallux valgus (acquired)"
"M202","Hallux rigidus"
"M203","Other deformity of hallux (acquired)"
"M204","Other hammer toe(s) (acquired)"
"M205","Other deformities of toe(s) (acquired)"
"M206","Acquired deformity of toe(s), unspecified"
"M21X","Other acquired deformities of limbs"
"M210","Valgus deformity, not elsewhere classified"
"M211","Varus deformity, not elsewhere classified"
"M212","Flexion deformity"
"M213","Wrist or foot drop (acquired)"
"M214","Flat foot [pes planus] (acquired)"
"M215","Acquired clawhand, clubhand, clawfoot and clubfoot"
"M216","Other acquired deformities of ankle and foot"
"M217","Unequal limb length (acquired)"
"M218","Other specified acquired deformities of limbs"
"M219","Acquired deformity of limb, unspecified"
"M22X","Disorders of patella"
"M220","Recurrent dislocation of patella"
"M221","Recurrent subluxation of patella"
"M222","Patellofemoral disorders"
"M223","Other derangements of patella"
"M224","Chondromalacia patellae"
"M228","Other disorders of patella"
"M229","Disorder of patella, unspecified"
"M23X","Internal derangement of knee"
"M230","Cystic meniscus"
"M231","Discoid meniscus (congenital)"
"M232","Derangement of meniscus due to old tear or injury"
"M233","Other meniscus derangements"
"M234","Loose body in knee"
"M235","Chronic instability of knee"
"M236","Other spontaneous disruption of ligament(s) of knee"
"M238","Other internal derangements of knee"
"M239","Internal derangement of knee, unspecified"
"M24X","Other specific joint derangements"
"M240","Loose body in joint"
"M241","Other articular cartilage disorders"
"M242","Disorder of ligament"
"M243","Pathological dislocation and subluxation of joint, not elsewhere classified"
"M244","Recurrent dislocation and subluxation of joint"
"M245","Contracture of joint"
"M246","Ankylosis of joint"
"M247","Protrusio acetabuli"
"M248","Other specific joint derangements, not elsewhere classified"
"M249","Joint derangement, unspecified"
"M25X","Other joint disorders, not elsewhere classified"
"M250","Haemarthrosis"
"M251","Fistula of joint"
"M252","Flail joint"
"M253","Other instability of joint"
"M254","Effusion of joint"
"M255","Pain in joint"
"M256","Stiffness of joint, not elsewhere classified"
"M257","Osteophyte"
"M258","Other specified joint disorders"
"M259","Joint disorder, unspecified"
"M30X","Polyarteritis nodosa and related conditions"
"M300","Polyarteritis nodosa"
"M301","Polyarteritis with lung involvement [Churg-Strauss]"
"M302","Juvenile polyarteritis"
"M303","Mucocutaneous lymph node syndrome [Kawasaki]"
"M308","Other conditions related to polyarteritis nodosa"
"M31X","Other necrotizing vasculopathies"
"M310","Hypersensitivity angiitis"
"M311","Thrombotic microangiopathy"
"M313","Wegener granulomatosis"
"M314","Aortic arch syndrome [Takayasu]"
"M315","Giant cell arteritis with polymyalgia rheumatica"
"M316","Other giant cell arteritis"
"M317","Microscopic polyangiitis"
"M318","Other specified necrotizing vasculopathies"
"M319","Necrotizing vasculopathy, unspecified"
"M32X","Systemic lupus erythematosus"
"M320","Drug-induced systemic lupus erythematosus"
"M321","Systemic lupus erythematosus with organ or system involvement"
"M328","Other forms of systemic lupus erythematosus"
"M329","Systemic lupus erythematosus, unspecified"
"M33X","Dermatopolymyositis"
"M330","Juvenile dermatomyositis"
"M331","Other dermatomyositis"
"M332","Polymyositis"
"M339","Dermatopolymyositis, unspecified"
"M34X","Systemic sclerosis"
"M340","Progressive systemic sclerosis"
"M341","CR(E)ST syndrome"
"M342","Systemic sclerosis induced by drugs and chemicals"
"M348","Other forms of systemic sclerosis"
"M349","Systemic sclerosis, unspecified"
"M35X","Other systemic involvement of connective tissue"
"M350","Sicca syndrome [Sjögren]"
"M351","Other overlap syndromes"
"M352","Behçet disease"
"M353","Polymyalgia rheumatica"
"M354","Diffuse (eosinophilic) fasciitis"
"M355","Multifocal fibrosclerosis"
"M356","Relapsing panniculitis [Weber-Christian]"
"M357","Hypermobility syndrome"
"M358","Other specified systemic involvement of connective tissue"
"M359","Systemic involvement of connective tissue, unspecified"
"M36X","Systemic disorders of connective tissue in diseases classified elsewhere"
"M360","Dermato(poly)myositis in neoplastic disease"
"M361","Arthropathy in neoplastic disease"
"M362","Haemophilic arthropathy"
"M363","Arthropathy in other blood disorders"
"M364","Arthropathy in hypersensitivity reactions classified elsewhere"
"M368","Systemic disorders of connective tissue in other diseases classified elsewhere"
"M40X","Kyphosis and lordosis"
"M400","Postural kyphosis"
"M401","Other secondary kyphosis"
"M402","Other and unspecified kyphosis"
"M403","Flatback syndrome"
"M404","Other lordosis"
"M405","Lordosis, unspecified"
"M41X","Scoliosis"
"M410","Infantile idiopathic scoliosis"
"M411","Juvenile idiopathic scoliosis"
"M412","Other idiopathic scoliosis"
"M413","Thoracogenic scoliosis"
"M414","Neuromuscular scoliosis"
"M415","Other secondary scoliosis"
"M418","Other forms of scoliosis"
"M419","Scoliosis, unspecified"
"M42X","Spinal osteochondrosis"
"M420","Juvenile osteochondrosis of spine"
"M421","Adult osteochondrosis of spine"
"M429","Spinal osteochondrosis, unspecified"
"M43X","Other deforming dorsopathies"
"M430","Spondylolysis"
"M431","Spondylolisthesis"
"M432","Other fusion of spine"
"M433","Recurrent atlantoaxial subluxation with myelopathy"
"M434","Other recurrent atlantoaxial subluxation"
"M435","Other recurrent vertebral subluxation"
"M436","Torticollis"
"M438","Other specified deforming dorsopathies"
"M439","Deforming dorsopathy, unspecified"
"M45X","Ankylosing spondylitis"
"M46X","Other inflammatory spondylopathies"
"M460","Spinal enthesopathy"
"M461","Sacroiliitis, not elsewhere classified"
"M462","Osteomyelitis of vertebra"
"M463","Infection of intervertebral disc (pyogenic)"
"M464","Discitis, unspecified"
"M465","Other infective spondylopathies"
"M468","Other specified inflammatory spondylopathies"
"M469","Inflammatory spondylopathy, unspecified"
"M47X","Spondylosis"
"M470","Anterior spinal and vertebral artery compression syndromes"
"M471","Other spondylosis with myelopathy"
"M472","Other spondylosis with radiculopathy"
"M478","Other spondylosis"
"M479","Spondylosis, unspecified"
"M48X","Other spondylopathies"
"M480","Spinal stenosis"
"M481","Ankylosing hyperostosis [Forestier]"
"M482","Kissing spine"
"M483","Traumatic spondylopathy"
"M484","Fatigue fracture of vertebra"
"M485","Collapsed vertebra, not elsewhere classified"
"M488","Other specified spondylopathies"
"M489","Spondylopathy, unspecified"
"M49X","Spondylopathies in diseases classified elsewhere"
"M490","Tuberculosis of spine"
"M491","Brucella spondylitis"
"M492","Enterobacterial spondylitis"
"M493","Spondylopathy in other infectious and parasitic diseases classified elsewhere"
"M494","Neuropathic spondylopathy"
"M495","Collapsed vertebra in diseases classified elsewhere"
"M498","Spondylopathy in other diseases classified elsewhere"
"M50X","Cervical disc disorders"
"M500","Cervical disc disorder with myelopathy"
"M501","Cervical disc disorder with radiculopathy"
"M502","Other cervical disc displacement"
"M503","Other cervical disc degeneration"
"M508","Other cervical disc disorders"
"M509","Cervical disc disorder, unspecified"
"M51X","Other intervertebral disc disorders"
"M510","Lumbar and other intervertebral disc disorders with myelopathy"
"M511","Lumbar and other intervertebral disc disorders with radiculopathy"
"M512","Other specified intervertebral disc displacement"
"M513","Other specified intervertebral disc degeneration"
"M514","Schmorl nodes"
"M518","Other specified intervertebral disc disorders"
"M519","Intervertebral disc disorder, unspecified"
"M53X","Other dorsopathies, not elsewhere classified"
"M530","Cervicocranial syndrome"
"M531","Cervicobrachial syndrome"
"M532","Spinal instabilities"
"M533","Sacrococcygeal disorders, not elsewhere classified"
"M538","Other specified dorsopathies"
"M539","Dorsopathy, unspecified"
"M54X","Dorsalgia"
"M540","Panniculitis affecting regions of neck and back"
"M541","Radiculopathy"
"M542","Cervicalgia"
"M543","Sciatica"
"M544","Lumbago with sciatica"
"M545","Low back pain"
"M546","Pain in thoracic spine"
"M548","Other dorsalgia"
"M549","Dorsalgia, unspecified"
"M60X","Myositis"
"M600","Infective myositis"
"M601","Interstitial myositis"
"M602","Foreign body granuloma of soft tissue, not elsewhere classified"
"M608","Other myositis"
"M609","Myositis, unspecified"
"M61X","Calcification and ossification of muscle"
"M610","Myositis ossificans traumatica"
"M611","Myositis ossificans progressiva"
"M612","Paralytic calcification and ossification of muscle"
"M613","Calcification and ossification of muscles associated with burns"
"M614","Other calcification of muscle"
"M615","Other ossification of muscle"
"M619","Calcification and ossification of muscle, unspecified"
"M62X","Other disorders of muscle"
"M620","Diastasis of muscle"
"M621","Other rupture of muscle (nontraumatic)"
"M622","Ischaemic infarction of muscle"
"M623","Immobility syndrome (paraplegic)"
"M624","Contracture of muscle"
"M625","Muscle wasting and atrophy, not elsewhere classified"
"M626","Muscle strain"
"M628","Other specified disorders of muscle"
"M629","Disorder of muscle, unspecified"
"M63X","Disorders of muscle in diseases classified elsewhere"
"M630","Myositis in bacterial diseases classified elsewhere"
"M631","Myositis in protozoal and parasitic infections classified elsewhere"
"M632","Myositis in other infectious diseases classified elsewhere"
"M633","Myositis in sarcoidosis"
"M638","Other disorders of muscle in diseases classified elsewhere"
"M65X","Synovitis and tenosynovitis"
"M650","Abscess of tendon sheath"
"M651","Other infective (teno)synovitis"
"M652","Calcific tendinitis"
"M653","Trigger finger"
"M654","Radial styloid tenosynovitis [de Quervain]"
"M658","Other synovitis and tenosynovitis"
"M659","Synovitis and tenosynovitis, unspecified"
"M66X","Spontaneous rupture of synovium and tendon"
"M660","Rupture of popliteal cyst"
"M661","Rupture of synovium"
"M662","Spontaneous rupture of extensor tendons"
"M663","Spontaneous rupture of flexor tendons"
"M664","Spontaneous rupture of other tendons"
"M665","Spontaneous rupture of unspecified tendon"
"M67X","Other disorders of synovium and tendon"
"M670","Short Achilles tendon (acquired)"
"M671","Other contracture of tendon (sheath)"
"M672","Synovial hypertrophy, not elsewhere classified"
"M673","Transient synovitis"
"M674","Ganglion"
"M678","Other specified disorders of synovium and tendon"
"M679","Disorder of synovium and tendon, unspecified"
"M68X","Disorders of synovium and tendon in diseases classified elsewhere"
"M680","Synovitis and tenosynovitis in bacterial diseases classified elsewhere"
"M688","Other disorders of synovium and tendon in diseases classified elsewhere"
"M70X","Soft tissue disorders related to use, overuse and pressure"
"M700","Chronic crepitant synovitis of hand and wrist"
"M701","Bursitis of hand"
"M702","Olecranon bursitis"
"M703","Other bursitis of elbow"
"M704","Prepatellar bursitis"
"M705","Other bursitis of knee"
"M706","Trochanteric bursitis"
"M707","Other bursitis of hip"
"M708","Other soft tissue disorders related to use, overuse and pressure"
"M709","Unspecified soft tissue disorder related to use, overuse and pressure"
"M71X","Other bursopathies"
"M710","Abscess of bursa"
"M711","Other infective bursitis"
"M712","Synovial cyst of popliteal space [Baker]"
"M713","Other bursal cyst"
"M714","Calcium deposit in bursa"
"M715","Other bursitis, not elsewhere classified"
"M718","Other specified bursopathies"
"M719","Bursopathy, unspecified"
"M72X","Fibroblastic disorders"
"M720","Palmar fascial fibromatosis [Dupuytren]"
"M721","Knuckle pads"
"M722","Plantar fascial fibromatosis"
"M724","Pseudosarcomatous fibromatosis"
"M726","Necrotizing fasciitis"
"M728","Other fibroblastic disorders"
"M729","Fibroblastic disorder, unspecified"
"M73X","Soft tissue disorders in diseases classified elsewhere"
"M730","Gonococcal bursitis"
"M731","Syphilitic bursitis"
"M738","Other soft tissue disorders in diseases classified elsewhere"
"M75X","Shoulder lesions"
"M750","Adhesive capsulitis of shoulder"
"M751","Rotator cuff syndrome"
"M752","Bicipital tendinitis"
"M753","Calcific tendinitis of shoulder"
"M754","Impingement syndrome of shoulder"
"M755","Bursitis of shoulder"
"M756","Tear of labrum of degenerative shoulder joint"
"M758","Other shoulder lesions"
"M759","Shoulder lesion, unspecified"
"M76X","Enthesopathies of lower limb, excluding foot"
"M760","Gluteal tendinitis"
"M761","Psoas tendinitis"
"M762","Iliac crest spur"
"M763","Iliotibial band syndrome"
"M764","Tibial collateral bursitis [Pellegrini-Stieda]"
"M765","Patellar tendinitis"
"M766","Achilles tendinitis"
"M767","Peroneal tendinitis"
"M768","Other enthesopathies of lower limb, excluding foot"
"M769","Enthesopathy of lower limb, unspecified"
"M77X","Other enthesopathies"
"M770","Medial epicondylitis"
"M771","Lateral epicondylitis"
"M772","Periarthritis of wrist"
"M773","Calcaneal spur"
"M774","Metatarsalgia"
"M775","Other enthesopathy of foot"
"M778","Other enthesopathies, not elsewhere classified"
"M779","Enthesopathy, unspecified"
"M79X","Other soft tissue disorders, not elsewhere classified"
"M790","Rheumatism, unspecified"
"M791","Myalgia"
"M792","Neuralgia and neuritis, unspecified"
