icd10,description
"J09X","Influenza due to identified zoonotic or pandemic influenza virus"
"J10X","Influenza due to identified seasonal influenza virus"
"J100","Influenza with pneumonia, seasonal influenza virus identified"
"J101","Influenza with other respiratory manifestations, seasonal influenza virus identified"
"J108","Influenza with other manifestations, seasonal influenza virus identified"
"J11X","Influenza, virus not identified"
"J110","Influenza with pneumonia, virus not identified"
"J111","Influenza with other respiratory manifestations, virus not identified"
"J118","Influenza with other manifestations, virus not identified"
"J12X","Viral pneumonia, not elsewhere classified"
"J120","Adenoviral pneumonia"
"J121","Respiratory syncytial virus pneumonia"
"J122","Parainfluenza virus pneumonia"
"J123","Human metapneumovirus pneumonia"
"J128","Other viral pneumonia"
"J129","Viral pneumonia, unspecified"
"J13X","Pneumonia due to Streptococcus pneumoniae"
"J14X","Pneumonia due to Haemophilus influenzae"
"J15X","Bacterial pneumonia, not elsewhere classified"
"J150","Pneumonia due to Klebsiella pneumoniae"
"J151","Pneumonia due to Pseudomonas"
"J152","Pneumonia due to staphylococcus"
"J153","Pneumonia due to streptococcus, group B"
"J154","Pneumonia due to other streptococci"
"J155","Pneumonia due to Escherichia coli"
"J156","Pneumonia due to other Gram-negative bacteria"
"J157","Pneumonia due to Mycoplasma pneumoniae"
"J158","Other bacterial pneumonia"
"J159","Bacterial pneumonia, unspecified"
"J16X","Pneumonia due to other infectious organisms, not elsewhere classified"
"J160","Chlamydial pneumonia"
"J168","Pneumonia due to other specified infectious organisms"
"J17X","Pneumonia in diseases classified elsewhere"
"J170","Pneumonia in bacterial diseases classified elsewhere"
"J171","Pneumonia in viral diseases classified elsewhere"
"J172","Pneumonia in mycoses"
"J173","Pneumonia in parasitic diseases"
"J178","Pneumonia in other diseases classified elsewhere"
"J18X","Pneumonia, organism unspecified"
"J180","Bronchopneumonia, unspecified"
"J181","Lobar pneumonia, unspecified"
"J182","Hypostatic pneumonia, unspecified"
"J188","Other pneumonia, organism unspecified"
"J189","Pneumonia, unspecified"
"J20X","Acute bronchitis"
"J200","Acute bronchitis due to Mycoplasma pneumoniae"
"J201","Acute bronchitis due to Haemophilus influenzae"
"J202","Acute bronchitis due to streptococcus"
"J203","Acute bronchitis due to coxsackievirus"
"J204","Acute bronchitis due to parainfluenza virus"
"J205","Acute bronchitis due to respiratory syncytial virus"
"J206","Acute bronchitis due to rhinovirus"
"J207","Acute bronchitis due to echovirus"
"J208","Acute bronchitis due to other specified organisms"
"J209","Acute bronchitis, unspecified"
"J21X","Acute bronchiolitis"
"J210","Acute bronchiolitis due to respiratory syncytial virus"
"J211","Acute bronchiolitis due to human metapneumovirus"
"J218","Acute bronchiolitis due to other specified organisms"
"J219","Acute bronchiolitis, unspecified"
"J22X","Unspecified acute lower respiratory infection"
