icd10,description
"J00X","Acute nasopharyngitis [common cold]"
"J01X","Acute sinusitis"
"J010","Acute maxillary sinusitis"
"J011","Acute frontal sinusitis"
"J012","Acute ethmoidal sinusitis"
"J013","Acute sphenoidal sinusitis"
"J014","Acute pansinusitis"
"J018","Other acute sinusitis"
"J019","Acute sinusitis, unspecified"
"J02X","Acute pharyngitis"
"J020","Streptococcal pharyngitis"
"J028","Acute pharyngitis due to other specified organisms"
"J029","Acute pharyngitis, unspecified"
"J03X","Acute tonsillitis"
"J030","Streptococcal tonsillitis"
"J038","Acute tonsillitis due to other specified organisms"
"J039","Acute tonsillitis, unspecified"
"J04X","Acute laryngitis and tracheitis"
"J040","Acute laryngitis"
"J041","Acute tracheitis"
"J042","Acute laryngotracheitis"
"J05X","Acute obstructive laryngitis [croup] and epiglottitis"
"J050","Acute obstructive laryngitis [croup]"
"J051","Acute epiglottitis"
"J06X","Acute upper respiratory infections of multiple and unspecified sites"
"J060","Acute laryngopharyngitis"
"J068","Other acute upper respiratory infections of multiple sites"
"J069","Acute upper respiratory infection, unspecified"
"J09X","Influenza due to identified zoonotic or pandemic influenza virus"
"J10X","Influenza due to identified seasonal influenza virus"
"J100","Influenza with pneumonia, seasonal influenza virus identified"
"J101","Influenza with other respiratory manifestations, seasonal influenza virus identified"
"J108","Influenza with other manifestations, seasonal influenza virus identified"
"J11X","Influenza, virus not identified"
"J110","Influenza with pneumonia, virus not identified"
"J111","Influenza with other respiratory manifestations, virus not identified"
"J118","Influenza with other manifestations, virus not identified"
"J12X","Viral pneumonia, not elsewhere classified"
"J120","Adenoviral pneumonia"
"J121","Respiratory syncytial virus pneumonia"
"J122","Parainfluenza virus pneumonia"
"J123","Human metapneumovirus pneumonia"
"J128","Other viral pneumonia"
"J129","Viral pneumonia, unspecified"
"J13X","Pneumonia due to Streptococcus pneumoniae"
"J14X","Pneumonia due to Haemophilus influenzae"
"J15X","Bacterial pneumonia, not elsewhere classified"
"J150","Pneumonia due to Klebsiella pneumoniae"
"J151","Pneumonia due to Pseudomonas"
"J152","Pneumonia due to staphylococcus"
"J153","Pneumonia due to streptococcus, group B"
"J154","Pneumonia due to other streptococci"
"J155","Pneumonia due to Escherichia coli"
"J156","Pneumonia due to other Gram-negative bacteria"
