icd10,description
"N00X","Acute nephritic syndrome"
"N01X","Rapidly progressive nephritic syndrome"
"N02X","Recurrent and persistent haematuria"
"N03X","Chronic nephritic syndrome"
"N04X","Nephrotic syndrome"
"N05X","Unspecified nephritic syndrome"
"N06X","Isolated proteinuria with specified morphological lesion"
"N07X","Hereditary nephropathy, not elsewhere classified"
"N08X","Glomerular disorders in diseases classified elsewhere"
"N080","Glomerular disorders in infectious and parasitic diseases classified elsewhere"
"N081","Glomerular disorders in neoplastic diseases"
"N082","Glomerular disorders in blood diseases and disorders involving the immune mechanism"
"N083","Glomerular disorders in diabetes mellitus"
"N084","Glomerular disorders in other endocrine, nutritional and metabolic diseases"
"N085","Glomerular disorders in systemic connective tissue disorders"
"N088","Glomerular disorders in other diseases classified elsewhere"
"N10X","Acute tubulo-interstitial nephritis"
"N11X","Chronic tubulo-interstitial nephritis"
"N110","Nonobstructive reflux-associated chronic pyelonephritis"
"N111","Chronic obstructive pyelonephritis"
"N118","Other chronic tubulo-interstitial nephritis"
"N119","Chronic tubulo-interstitial nephritis, unspecified"
"N12X","Tubulo-interstitial nephritis, not specified as acute or chronic"
"N13X","Obstructive and reflux uropathy"
"N130","Hydronephrosis with ureteropelvic junction obstruction"
"N131","Hydronephrosis with ureteral stricture, not elsewhere classified"
"N132","Hydronephrosis with renal and ureteral calculous obstruction"
"N133","Other and unspecified hydronephrosis"
"N134","Hydroureter"
"N135","Kinking and stricture of ureter without hydronephrosis"
"N136","Pyonephrosis"
"N137","Vesicoureteral-reflux-associated uropathy"
"N138","Other obstructive and reflux uropathy"
"N139","Obstructive and reflux uropathy, unspecified"
"N14X","Drug- and heavy-metal-induced tubulo-interstitial and tubular conditions"
"N140","Analgesic nephropathy"
"N141","Nephropathy induced by other drugs, medicaments and biological substances"
"N142","Nephropathy induced by unspecified drug, medicament or biological substance"
"N143","Nephropathy induced by heavy metals"
"N144","Toxic nephropathy, not elsewhere classified"
"N15X","Other renal tubulo-interstitial diseases"
"N150","Balkan nephropathy"
"N151","Renal and perinephric abscess"
"N158","Other specified renal tubulo-interstitial diseases"
"N159","Renal tubulo-interstitial disease, unspecified"
"N16X","Renal tubulo-interstitial disorders in diseases classified elsewhere"
"N160","Renal tubulo-interstitial disorders in infectious and parasitic diseases classified elsewhere"
"N161","Renal tubulo-interstitial disorders in neoplastic diseases"
"N162","Renal tubulo-interstitial disorders in blood diseases and disorders involving the immune mechanism"
"N163","Renal tubulo-interstitial disorders in metabolic diseases"
"N164","Renal tubulo-interstitial disorders in systemic connective tissue disorders"
"N165","Renal tubulo-interstitial disorders in transplant rejection"
"N168","Renal tubulo-interstitial disorders in other diseases classified elsewhere"
"N17X","Acute renal failure"
"N170","Acute renal failure with tubular necrosis"
"N171","Acute renal failure with acute cortical necrosis"
"N172","Acute renal failure with medullary necrosis"
"N178","Other acute renal failure"
"N179","Acute renal failure, unspecified"
"N18X","Chronic kidney disease"
"N181","Chronic kidney disease, stage 1"
"N182","Chronic kidney disease, stage 2"
"N183","Chronic kidney disease, stage 3"
"N184","Chronic kidney disease, stage 4"
"N185","Chronic kidney disease, stage 5"
"N189","Chronic kidney disease, unspecified"
"N19X","Unspecified kidney failure"
"N20X","Calculus of kidney and ureter"
"N200","Calculus of kidney"
"N201","Calculus of ureter"
"N202","Calculus of kidney with calculus of ureter"
"N209","Urinary calculus, unspecified"
"N21X","Calculus of lower urinary tract"
"N210","Calculus in bladder"
"N211","Calculus in urethra"
"N218","Other lower urinary tract calculus"
"N219","Calculus of lower urinary tract, unspecified"
"N22X","Calculus of urinary tract in diseases classified elsewhere"
"N220","Urinary calculus in schistosomiasis [bilharziasis]"
"N228","Calculus of urinary tract in other diseases classified elsewhere"
"N23X","Unspecified renal colic"
"N25X","Disorders resulting from impaired renal tubular function"
"N250","Renal osteodystrophy"
"N251","Nephrogenic diabetes insipidus"
"N258","Other disorders resulting from impaired renal tubular function"
"N259","Disorder resulting from impaired renal tubular function, unspecified"
"N26X","Unspecified contracted kidney"
"N27X","Small kidney of unknown cause"
"N270","Small kidney, unilateral"
"N271","Small kidney, bilateral"
"N279","Small kidney, unspecified"
"N28X","Other disorders of kidney and ureter, not elsewhere classified"
"N280","Ischaemia and infarction of kidney"
"N281","Cyst of kidney"
"N288","Other specified disorders of kidney and ureter"
"N289","Disorder of kidney and ureter, unspecified"
"N29X","Other disorders of kidney and ureter in diseases classified elsewhere"
"N290","Late syphilis of kidney"
"N291","Other disorders of kidney and ureter in infectious and parasitic diseases classified elsewhere"
"N298","Other disorders of kidney and ureter in other diseases classified elsewhere"
"N30X","Cystitis"
"N300","Acute cystitis"
"N301","Interstitial cystitis (chronic)"
"N302","Other chronic cystitis"
"N303","Trigonitis"
"N304","Irradiation cystitis"
"N308","Other cystitis"
"N309","Cystitis, unspecified"
"N31X","Neuromuscular dysfunction of bladder, not elsewhere classified"
"N310","Uninhibited neuropathic bladder, not elsewhere classified"
"N311","Reflex neuropathic bladder, not elsewhere classified"
"N312","Flaccid neuropathic bladder, not elsewhere classified"
"N318","Other neuromuscular dysfunction of bladder"
"N319","Neuromuscular dysfunction of bladder, unspecified"
"N32X","Other disorders of bladder"
"N320","Bladder-neck obstruction"
"N321","Vesicointestinal fistula"
"N322","Vesical fistula, not elsewhere classified"
"N323","Diverticulum of bladder"
"N324","Rupture of bladder, nontraumatic"
"N328","Other specified disorders of bladder"
"N329","Bladder disorder, unspecified"
"N33X","Bladder disorders in diseases classified elsewhere"
"N330","Tuberculous cystitis"
"N338","Bladder disorders in other diseases classified elsewhere"
"N34X","Urethritis and urethral syndrome"
"N340","Urethral abscess"
"N341","Nonspecific urethritis"
"N342","Other urethritis"
"N343","Urethral syndrome, unspecified"
"N35X","Urethral stricture"
"N350","Post-traumatic urethral stricture"
"N351","Postinfective urethral stricture, not elsewhere classified"
"N358","Other urethral stricture"
"N359","Urethral stricture, unspecified"
"N36X","Other disorders of urethra"
"N360","Urethral fistula"
"N361","Urethral diverticulum"
"N362","Urethral caruncle"
"N363","Prolapsed urethral mucosa"
"N368","Other specified disorders of urethra"
"N369","Urethral disorder, unspecified"
"N37X","Urethral disorders in diseases classified elsewhere"
"N370","Urethritis in diseases classified elsewhere"
"N378","Other urethral disorders in diseases classified elsewhere"
"N39X","Other disorders of urinary system"
"N390","Urinary tract infection, site not specified"
"N391","Persistent proteinuria, unspecified"
"N392","Orthostatic proteinuria, unspecified"
"N393","Stress incontinence"
"N394","Other specified urinary incontinence"
"N398","Other specified disorders of urinary system"
"N399","Disorder of urinary system, unspecified"
"N40X","Hyperplasia of prostate"
"N41X","Inflammatory diseases of prostate"
"N410","Acute prostatitis"
"N411","Chronic prostatitis"
"N412","Abscess of prostate"
"N413","Prostatocystitis"
"N418","Other inflammatory diseases of prostate"
"N419","Inflammatory disease of prostate, unspecified"
"N42X","Other disorders of prostate"
"N420","Calculus of prostate"
"N421","Congestion and haemorrhage of prostate"
