DENOM	15901	16222 (6745 in 2019*)	79502

composite	4755 (29.9)	7146 (44.1)	11566 (14.5)
death	1559 (9.8)	1406 (8.7)	2360 (3.0)
		

otherinfections	304 (1.9)	225 (3.3)	359 (0.5)
cancer_ex_nmsc	412 (2.6)	321 (4.8)	1016 (1.3)
endo_nutr_metabol	158 (1.0)	85 (1.3)	230 (0.3)
mentalhealth	185 (1.2)	54 (0.8)	264 (0.3)
nervoussystem	180 (1.1)	107 (1.6)	329 (0.4)
circulatory	717 (4.5)	447 (6.6)	1537 (1.9)
respiratorylrti	800 (5.0)	417 (6.2)	615 (0.8)
respiratory	485 (3.1)	437 (6.5)	534 (0.7)
digestive	528 (3.3)	377 (5.6)	1836 (2.3)
musculoskeletal	114 (0.7)	129 (1.9)	718 (0.9)
genitourinary	424 (2.7)	245 (3.6)	878 (1.1)
external	310 (1.9)	164 (2.4)	572 (0.7)
